address, description, register, mode, manip_1_bit, manip_8_bit, manip_16_bit, initial_value
1800014F, CAN message data register 107,M_DATA107,R/W,,x,,Undefined
18000150, CAN message ID register L10,M_IDL10,R/W,,,x,Undefined
18000152, CAN message ID register H10,M_IDH10,R/W,,,x,Undefined
18000154, CAN message configuration register 10,M_CONF10,R/W,,x,,Undefined
18000155, CAN message status register 10,M_STAT10,R,,x,,Undefined
18000156, CAN status set/cancel register 10,SC_STAT10,W,,,x,0000H
18000160, CAN message event pointer 110,M_EVT110,R/W,,x,,Undefined
18000161, CAN message event pointer111,M_EVT111,R/W,,x,,Undefined
18000162, CAN message event pointer 112,M_EVT112,R/W,,x,,Undefined
18000163, CAN message event pointer 113,M_EVT113,R/W,,x,,Undefined
18000164, CAN message data length register 11,M_DLC11,R/W,,x,,Undefined
18000165, CAN message control register 11,M_CTRL11,R/W,,x,,Undefined
18000166, CAN message time stamp register 11,M_TIME11,R/W,,,x,Undefined
18000168, CAN message data register 110,M_DATA110,R/W,,x,,Undefined
18000169, CAN message data register 111,M_DATA111,R/W,,x,,Undefined
1800016A, CAN message data register 112,M_DATA112,R/W,,x,,Undefined
1800016B, CAN message data register 113,M_DATA113,R/W,,x,,Undefined
1800016C, CAN message data register 114,M_DATA114,R/W,,x,,Undefined
1800016D, CAN message data register 115,M_DATA115,R/W,,x,,Undefined
1800016E, CAN message data register 116,M_DATA116,R/W,,x,,Undefined
1800016F, CAN message data register 117,M_DATA117,R/W,,x,,Undefined
18000170, CAN message ID register L11,M_IDL11,R/W,,,x,Undefined
18000172, CAN message ID register H11,M_IDH11,R/W,,,x,Undefined
18000174, CAN message configuration register 11,M_CONF11,R/W,,x,,Undefined
18000175, CAN message status register 11,M_STAT11,R,,x,,Undefined
18000176, CAN status set/cancel register 11,SC_STAT11,W,,,x,0000H
18000180, CAN message event pointer 120,M_EVT120,R/W,,x,,Undefined
18000181, CAN message event pointer 121,M_EVT121,R/W,,x,,Undefined
18000182, CAN message event pointer 122,M_EVT122,R/W,,x,,Undefined
18000183, CAN message event pointer 123,M_EVT123,R/W,,x,,Undefined
18000184, CAN message data length register 12,M_DLC12,R/W,,x,,Undefined
18000185, CAN message control register 12,M_CTRL12,R/W,,x,,Undefined
18000186, CAN message time stamp register 12,M_TIME12,R/W,,,x,Undefined
18000188, CAN message data register 120,M_DATA120,R/W,,x,,Undefined
18000189, CAN message data register 121,M_DATA121,R/W,,x,,Undefined
1800018A, CAN message data register 122,M_DATA122,R/W,,x,,Undefined
1800018B, CAN message data register 123,M_DATA123,R/W,,x,,Undefined
1800018C, CAN message data register 124,M_DATA124,R/W,,x,,Undefined
1800018D, CAN message data register 125,M_DATA125,R/W,,x,,Undefined
1800018E, CAN message data register 126,M_DATA126,R/W,,x,,Undefined
1800018F, CAN message data register 127,M_DATA127,R/W,,x,,Undefined
18000190, CAN message ID register L12,M_IDL12,R/W,,,x,Undefined
18000192, CAN message ID register H12,M_IDH12,R/W,,,x,Undefined
18000194, CAN message configuration register 12,M_CONF12,R/W,,x,,Undefined
18000195, CAN message status register 12,M_STAT12,R,,x,,Undefined
18000196, CAN status set/cancel register 12,SC_STAT12,W,,,x,0000H
180001A0, CAN message event pointer 130,M_EVT130,R/W,,x,,Undefined
180001A1, CAN message event pointer 131,M_EVT131,R/W,,x,,Undefined
180001A2, CAN message event pointer 132,M_EVT132,R/W,,x,,Undefined
180001A3, CAN message event pointer 133,M_EVT133,R/W,,x,,Undefined
180001A4, CAN message data length register 13,M_DLC13,R/W,,x,,Undefined
180001A5, CAN message control register 13,M_CTRL13,R/W,,x,,Undefined
180001A6, CAN message time stamp register 13,M_TIME13,R/W,,,x,Undefined
180001A8, CAN message data register 130,M_DATA130,R/W,,x,,Undefined
180001A9, CAN message data register 131,M_DATA131,R/W,,x,,Undefined
180001AA, CAN message data register 132,M_DATA132,R/W,,x,,Undefined
180001AB, CAN message data register 133,M_DATA133,R/W,,x,,Undefined
180001AC, CAN message data register 134,M_DATA134,R/W,,x,,Undefined
180001AD, CAN message data register 135,M_DATA135,R/W,,x,,Undefined
180001AE, CAN message data register 136,M_DATA136,R/W,,x,,Undefined
180001AF, CAN message data register 137,M_DATA137,R/W,,x,,Undefined
180001B0, CAN message ID register L13,M_IDL13,R/W,,,x,Undefined
180001B2, CAN message ID register H13,M_IDH13,R/W,,,x,Undefined
180001B4, CAN message configuration register 13,M_CONF13,R/W,,x,,Undefined
180001B5, CAN message status register 13,M_STAT13,R,,x,,Undefined
180001B6, CAN status set/cancel register 13,SC_STAT13,W,,,x,0000H
180001C0, CAN message event pointer 140,M_EVT140,R/W,,x,,Undefined
180001C1, CAN message event pointer 141,M_EVT141,R/W,,x,,Undefined
180001C2, CAN message event pointer 142,M_EVT142,R/W,,x,,Undefined
180001C3, CAN message event pointer 143,M_EVT143,R/W,,x,,Undefined
180001C4, CAN message data length register 14,M_DLC14,R/W,,x,,Undefined
180001C5, CAN message control register 14,M_CTRL14,R/W,,x,,Undefined
180001C6, CAN message time stamp register 14,M_TIME14,R/W,,,x,Undefined
180001C8, CAN message data register 140,M_DATA140,R/W,,x,,Undefined
180001C9, CAN message data register 141,M_DATA141,R/W,,x,,Undefined
180001CA, CAN message data register 142,M_DATA142,R/W,,x,,Undefined
180001CB, CAN message data register 143,M_DATA143,R/W,,x,,Undefined
180001CC, CAN message data register 144,M_DATA144,R/W,,x,,Undefined
180001CD, CAN message data register 145,M_DATA145,R/W,,x,,Undefined
180001CE, CAN message data register 146,M_DATA146,R/W,,x,,Undefined
180001CF, CAN message data register 147,M_DATA147,R/W,,x,,Undefined
180001D0, CAN message ID register L14,M_IDL14,R/W,,,x,Undefined
180001D2, CAN message ID register H14,M_IDH14,R/W,,,x,Undefined
180001D4, CAN message configuration register 14,M_CONF14,R/W,,x,,Undefined
180001D5, CAN message status register 14,M_STAT14,R,,x,,Undefined
180001D6, CAN status set/cancel register 14,SC_STAT14,W,,,x,0000H
180001E0, CAN message event pointer 150,M_EVT150,R/W,,x,,Undefined
180001E1, CAN message event pointer 151,M_EVT151,R/W,,x,,Undefined
180001E2, CAN message event pointer 152,M_EVT152,R/W,,x,,Undefined
180001E3, CAN message event pointer 153,M_EVT153,R/W,,x,,Undefined
180001E4, CAN message data length register 15,M_DLC15,R/W,,x,,Undefined
180001E5, CAN message control register 15,M_CTRL15,R/W,,x,,Undefined
180001E6, CAN message time stamp register 15,M_TIME15,R/W,,,x,Undefined
180001E8, CAN message data register 150,M_DATA150,R/W,,x,,Undefined
180001E9, CAN message data register 151,M_DATA151,R/W,,x,,Undefined
180001EA, CAN message data register 152,M_DATA152,R/W,,x,,Undefined
180001EB, CAN message data register 153,M_DATA153,R/W,,x,,Undefined
180001EC, CAN message data register 154,M_DATA154,R/W,,x,,Undefined
180001ED, CAN message data register 155,M_DATA155,R/W,,x,,Undefined
180001EE, CAN message data register 156,M_DATA156,R/W,,x,,Undefined
180001EF, CAN message data register 157,M_DATA157,R/W,,x,,Undefined
180001F0, CAN message ID register L15,M_IDL15,R/W,,,x,Undefined
180001F2, CAN message ID register H15,M_IDH15,R/W,,,x,Undefined
180001F4, CAN message configuration register 15,M_CONF15,R/W,,x,,Undefined
180001F5, CAN message status register 15,M_STAT15,R,,x,,Undefined
180001F6, CAN status set/cancel register 15,SC_STAT15,W,,,x,0000H
18000200, CAN message event pointer 160,M_EVT160,R/W,,x,,Undefined
18000201, CAN message event pointer 161,M_EVT161,R/W,,x,,Undefined
18000202, CAN message event pointer 162,M_EVT162,R/W,,x,,Undefined
18000203, CAN message event pointer 163,M_EVT163,R/W,,x,,Undefined
18000204, CAN message data length register 16,M_DLC16,R/W,,x,,Undefined
18000205, CAN message control register 16,M_CTRL16,R/W,,x,,Undefined
18000206, CAN message time stamp register 16,M_TIME16,R/W,,,x,Undefined
18000208, CAN message data register 160,M_DATA160,R/W,,x,,Undefined
18000209, CAN message data register 161,M_DATA161,R/W,,x,,Undefined
1800020A, CAN message data register 162,M_DATA162,R/W,,x,,Undefined
1800020B, CAN message data register 163,M_DATA163,R/W,,x,,Undefined
1800020C, CAN message data register 164,M_DATA164,R/W,,x,,Undefined
1800020D, CAN message data register 165,M_DATA165,R/W,,x,,Undefined
1800020E, CAN message data register 166,M_DATA166,R/W,,x,,Undefined
1800020F, CAN message data register 167,M_DATA167,R/W,,x,,Undefined
18000210, CAN message ID register L16,M_IDL16,R/W,,,x,Undefined
18000212, CAN message ID register H16,M_IDH16,R/W,,,x,Undefined
18000214, CAN message configuration register 16,M_CONF16,R/W,,x,,Undefined
18000215, CAN message status register 16,M_STAT16,R,,x,,Undefined
18000216, CAN status set/cancel register 16,SC_STAT16,W,,,x,0000H
18000220, CAN message event pointer 170,M_EVT170,R/W,,x,,Undefined
18000221, CAN message event pointer 171,M_EVT171,R/W,,x,,Undefined
18000222, CAN message event pointer 172,M_EVT172,R/W,,x,,Undefined
18000223, CAN message event pointer 173,M_EVT173,R/W,,x,,Undefined
18000224, CAN message data length register 17,M_DLC17,R/W,,x,,Undefined
18000225, CAN message control register 17,M_CTRL17,R/W,,x,,Undefined
18000226, CAN message time stamp register 17,M_TIME17,R/W,,,x,Undefined
18000228, CAN message data register 170,M_DATA170,R/W,,x,,Undefined
18000229, CAN message data register 171,M_DATA171,R/W,,x,,Undefined
1800022A, CAN message data register 172,M_DATA172,R/W,,x,,Undefined
1800022B, CAN message data register 173,M_DATA173,R/W,,x,,Undefined
1800022C, CAN message data register 174,M_DATA174,R/W,,x,,Undefined
1800022D, CAN message data register 175,M_DATA175,R/W,,x,,Undefined
1800022E, CAN message data register 176,M_DATA176,R/W,,x,,Undefined
1800022F, CAN message data register 177,M_DATA177,R/W,,x,,Undefined
18000230, CAN message ID register L17,M_IDL17,R/W,,,x,Undefined
18000232, CAN message ID register H17,M_IDH17,R/W,,,x,Undefined
18000234, CAN message configuration register 17,M_CONF17,R/W,,x,,Undefined
18000235, CAN message status register 17,M_STAT17,R,,x,,Undefined
18000236, CAN status set/cancel register 17,SC_STAT17,W,,,x,0000H
18000240, CAN message event pointer 180,M_EVT180,R/W,,x,,Undefined
18000241, CAN message event pointer 181,M_EVT181,R/W,,x,,Undefined
18000242, CAN message event pointer 182,M_EVT182,R/W,,x,,Undefined
18000243, CAN message event pointer 183,M_EVT183,R/W,,x,,Undefined
18000244, CAN message data length register 18,M_DLC18,R/W,,x,,Undefined
18000245, CAN message control register 18,M_CTRL18,R/W,,x,,Undefined
18000246, CAN message time stamp register 18,M_TIME18,R/W,,,x,Undefined
18000248, CAN message data register 180,M_DATA180,R/W,,x,,Undefined
18000249, CAN message data register 181,M_DATA181,R/W,,x,,Undefined
1800024A, CAN message data register 182,M_DATA182,R/W,,x,,Undefined
1800024B, CAN message data register 183,M_DATA183,R/W,,x,,Undefined
1800024C, CAN message data register 184,M_DATA184,R/W,,x,,Undefined
1800024D, CAN message data register 185,M_DATA185,R/W,,x,,Undefined
1800024E, CAN message data register 186,M_DATA186,R/W,,x,,Undefined
1800024F, CAN message data register 187,M_DATA187,R/W,,x,,Undefined
18000250, CAN message ID register L18,M_IDL18,R/W,,,x,Undefined
18000252, CAN message ID register H18,M_IDH18,R/W,,,x,Undefined
18000254, CAN message configuration register 18,M_CONF18,R/W,,x,,Undefined
18000255, CAN message status register 18,M_STAT18,R,,x,,Undefined
18000256, CAN status set/cancel register 18,SC_STAT18,W,,,x,0000H
18000260, CAN message event pointer 260,M_EVT260,R/W,,x,,Undefined
18000261, CAN message event pointer 261,M_EVT261,R/W,,x,,Undefined
18000262, CAN message event pointer 262,M_EVT262,R/W,,x,,Undefined
18000263, CAN message event pointer 263,M_EVT263,R/W,,x,,Undefined
18000264, CAN message data length register 19,M_DLC19,R/W,,x,,Undefined
18000265, CAN message control register 19,M_CTRL19,R/W,,x,,Undefined
18000266, CAN message time stamp register 19,M_TIME19,R/W,,,x,Undefined
18000268, CAN message data register 190,M_DATA190,R/W,,x,,Undefined
18000269, CAN message data register 191,M_DATA191,R/W,,x,,Undefined
1800026A, CAN message data register 192,M_DATA192,R/W,,x,,Undefined
1800026B, CAN message data register 193,M_DATA193,R/W,,x,,Undefined
1800026C, CAN message data register 194,M_DATA194,R/W,,x,,Undefined
1800026D, CAN message data register 195,M_DATA195,R/W,,x,,Undefined
1800026E, CAN message data register 196,M_DATA196,R/W,,x,,Undefined
1800026F, CAN message data register 197,M_DATA197,R/W,,x,,Undefined
18000270, CAN message ID register L19,M_IDL19,R/W,,,x,Undefined
18000272, CAN message ID register H19,M_IDH19,R/W,,,x,Undefined
18000274, CAN message configuration register 19,M_CONF19,R/W,,x,,Undefined
18000275, CAN message status register 19,M_STAT19,R,,x,,Undefined
18000276, CAN status set/cancel register 19,SC_STAT19,W,,,x,0000H
18000280, CAN message event pointer 200,M_EVT200,R/W,,x,,Undefined
18000281, CAN message event pointer 201,M_EVT201,R/W,,x,,Undefined
18000282, CAN message event pointer 202,M_EVT202,R/W,,x,,Undefined
18000283, CAN message event pointer 203,M_EVT203,R/W,,x,,Undefined
18000284, CAN message data length register 20,M_DLC20,R/W,,x,,Undefined
